quellen_id,bezeichnung,url,kategorie,anmerkung
Q11,viaggi-religiosi.it – I luoghi di Don Matteo,https://www.viaggi-religiosi.it/luoghi-don-matteo/,Reiseportal,Detail zur Aufteilung San Giovanni (aussen) / San Marziale (innen) und zum Bar Ducale.
Q12,turismo.it – In giro per l'Umbria con Don Matteo (2014),https://www.turismo.it/cultura/articolo/art/in-giro-per-lumbria-con-don-matteo-id-7100/,Presse (Seite offline),"Einzige Quelle fuer Ospedale Santa Maria della Misericordia (Perugia, Innenaufnahmen Staffel 7) und Palazzo dei Priori in der Folge 'Una domenica tranquilla' (23.02.2006). Originalseite liefert 410, Inhalt nur noch ueber Suchindex/Cache."
Q13,travellilly – 13 cose da vedere a Gubbio: sul set di Don Matteo,https://travellilly00.wixsite.com/travel-lilly/post/13-cose-da-vedere-a-gubbio-sul-set-di-don-matteo,Blog,Beschreibt das Schachtischchen und die Devotionalien im Caffe Ducale.
Q14,cocooners.com – Gubbio: un viaggio sul set di Don Matteo,https://www.cocooners.com/blog/gubbio-cosa-vedere-un-viaggio-sul-set-di-don-matteo/,Blog (schwach belegt),Behauptet Teatro Romano und Palazzo Ducale als Hauptdrehorte - von keiner besseren Quelle gestuetzt.
Q15,"Contemascetti – Gaestefuehrer Gubbio, Themenrundgang",https://www.contemascetti.it/event-details/gubbio-nei-luoghi-di-don-matteo,lokaler Anbieter,Bietet gefuehrten Rundgang 'Gubbio nei luoghi di Don Matteo' an; Ortsliste identisch mit Q03.
Q16,spencerhilldb.de – Bud Spencer / Terence Hill Datenbank,https://www.spencerhilldb.de/serie.php?serie=11,Fanseite (DE),"Deutsche Serien-/Folgendatenbank, Rubrik 'Wissenswertes'."
Q17,"don-matteo.com – Don Matteo, endlich in Deutschland",https://don-matteo.com/wissenswertes,Fanseite (DE),Drehbeginn Staffel 1 am 12.10.1998 in Gubbio; folgenweise Hintergruende (u.a. Festa dei Ceri in Staffel 1).
Q18,spencerhill-festival.de – Das war Gubbio 2023,https://www.spencerhill-festival.de/Das-war-Gubbio-2023,Fanseite (DE),168 Episoden zwischen 1998 und 2011 in Gubbio.
Q19,terencehill.it – News-Archiv zu den Dreharbeiten,https://www.terencehill.it/news_dm5cgu.html,Fanseite (IT),"Konkrete Drehzeitraeume, z.B. Aussenaufnahmen Staffel 5 ab 20.06.2005, Ende 16.07.2005, Fortsetzung ab 12.09.2005."
Q20,pretapartirconchiara.com – Sulle tracce di Don Matteo,https://pretapartirconchiara.com/don-matteo-tra-gubbio-e-spoleto/,Blog,Ordnet die Kaserne dem Palazzo Pretorio zu.
Q21,moretimetotravel.com – Visiting Gubbio with Don Matteo,https://www.moretimetotravel.com/visiting-gubbio-with-don-matteo/,Blog (EN),Englischsprachiger Ueberblick fuer Fans.
Q22,Google Places,,Geodaten-Dienst,Herkunft der Koordinaten und Adressen in diesem Datensatz. Fuer eine oeffentliche Fanseite ggf. durch OpenStreetMap-Daten ersetzen (Lizenz!).
Q23,"viaggidafilm.it – Don Matteo, itinerario in Umbria",https://www.viaggidafilm.it/2015/01/11/don-matteo-e-la-miglior-fiction-de/,Presse / Blog,Terence Hill ist Ehrenbuerger von Gubbio; Fotobuch 'Nei luoghi di Don Matteo'.
Q24,Sherlock Magazine – Ultime riprese per Don Matteo,https://www.sherlockmagazine.it/1830/ultime-riprese-per-don-matteo,Presse,Rueckkehr der Crew nach Gubbio am 16.01. fuer die letzten vier Folgen der 5. Staffel.
Q25,anita-italia.blogspot.com – 'Gubbio (Don Matteon jalanjaeljilla)' (finnisch),https://anita-italia.blogspot.com/2012/11/gubbio-don-matteon-jalanjaljilla.html,Blog (finnisch),"Finnischer Italien-Kulturblog, 2012. Inhaltlich weitgehend Zusammenfassung, aber wertvoll als Linksammlung: verweist u.a. auf ein Foto-Special zu den Gubbio-Locations auf Terence Hills eigener Website. Leserkommentar mit Beobachtung, dass die Treppe, die in der Serie von der Piazza hinabfuehrt, real ins Nichts fuehrt, und dass die Hotellobby am Platz voller Don-Matteo-Fotos haengt."
Q26,"en.terencehill.com – offizielle Filmografie, Eintrag Don Matteo 6",https://en.terencehill.com/index.php?sel=filmography&sub=179,offiziell (Website des Hauptdarstellers),"Fuehrt pro Staffel ein Feld 'Filming Location'; fuer Staffel 6 'Rome and Gubbio, Italy'. Bestaetigt die Aufteilung Aussen Gubbio / Innen Rom. Ausserdem vollstaendige Folgentitelliste (Folgen 97-120 = Staffel 6). Seite blockt automatisierte Zugriffe, Inhalt nur ueber Suchindex einsehbar."
Q27,valleylife.it – In the Footsteps of Don Matteo (englisch),https://www.valleylife.it/in-the-footsteps-of-don-matteo/,Regionalmagazin (englisch),Englischsprachiges Umbrien-Magazin; bestaetigt das Caffe Ducale als lebendigen Erinnerungsort und die Existenz gefuehrter Location-Touren.
Q28,it.terencehill.com – Foto delle location di Don Matteo (3 Seiten),http://www.it.terencehill.com/it_special_gubbio1.html,"offiziell (Website des Hauptdarstellers), Status unklar","UNGEPRUEFT: Von Q25 verlinktes Foto-Special zu den Gubbio-Drehorten auf der italienischen Version von Terence Hills Website. Ob die Seite noch erreichbar ist, konnte nicht verifiziert werden - lohnt einen Versuch, da es sich um Set-Fotos aus erster Hand handeln duerfte."
Q29,terencehill.it – News-Archiv (offizielle Website Terence Hill),https://www.terencehill.it/news.asp?lang=_en,offiziell (Website des Hauptdarstellers),WICHTIGSTER NEUFUND: zeitgenoessischer News-Ticker 2001-2005 mit exakten Drehterminen je Staffel und Drehort-Wechseln. Einzige Quelle fuer die Eissporthalle Ussita (2.7.2003) und fuer den Narni-Termin. Reicht nur bis August 2005 - fuer die Staffeln 6-8 existiert kein vergleichbares Archiv.
Q30,Simone Montedoro Official Fan Club – Blog und Facebook-Alben,http://simonemontedorofc.blogspot.com/search/label/don%20matteo%208,Fanclub (Darsteller Capitano Tommasi),"Set-Fotos aus Gubbio zu den Staffeln 6, 7 und 8, teils als Facebook-Alben. Belegt vier Wochen Dreh in Gubbio im Mai/Juni 2011 (Staffel 8). Die Blogtexte nennen KEINE Ortsnamen - die Alben muessten manuell durchgesehen und die Hintergruende identifiziert werden. Groesstes ungehobenes Potenzial fuer Staffel 7 und 8."
Q31,it.wikipedia.org – Episodenlisten je Staffel,https://it.wikipedia.org/wiki/Episodi_di_Don_Matteo_(quarta_stagione),Enzyklopaedie,"Ausfuehrliche Inhaltsangaben je Folge. Kein Drehort-Nachweis, aber unentbehrlich, um einen belegten Drehtermin einer Folge zuzuordnen (so geschehen bei Ussita / 4x11)."
Q32,spoletonline.com – Verkehrsanordnungen zu Dreharbeiten,"https://www.spoletonline.com/171649/Don-Matteo,-riprese-dal-25-settembre",Lokalpresse,"BEISPIEL, NICHT GUBBIO: zeigt, wie ergiebig kommunale Verkehrsanordnungen sind - fuer Spoleto werden strassengenau Drehtage und gesperrte Plaetze genannt. Fuer die Gubbio-Jahre (1998-2011) sind vergleichbare Dokumente NICHT online; sie liegen allenfalls im Papierarchiv des Comune."
Q06b,"budterence.tk – Reportage 'DON MATTEO 9: DA GUBBIO A SPOLETO' (Terencina, 2015)",http://www.budterence.tk/RepDonMatteo9/locations.htm,Fanseite (Vor-Ort-Recherche),"Das Spoleto-Gegenstueck zur Gubbio-Reportage, von derselben Autorin. Karte plus acht Einzelseiten mit Fotos. Deutlich weniger detailliert als die Gubbio-Fassung: keine Hausnummern, kaum Folgenbezuege - aber die einzige systematische Vor-Ort-Dokumentation der Spoleto-Aera. Einzige Quelle fuer die Bar in Casa Menotti, Palazzo Mauri, Corso Mazzini und den Arco di Druso."
Q33,Comune di Spoleto – offizielle News und 'Schede Luoghi di Don Matteo',https://www.comune.spoleto.pg.it/it/documenti_pubblici/schede-luoghi-di-don-matteo,offiziell (Kommune),Das Spoleto-Pendant zur Gubbio-Seite - und deutlich aktiver: laufende Meldungen zu jedem Drehblock mit Datum. Belegt u.a. Drehbeginn Staffel 9 (Mai bis November 2013) und den Ablauf von Staffel 15.
Q34,Umbria Tourism – 'The places of Don Matteo' (Spoleto),https://www.umbriatourism.it/en/w/the-places-of-don-matteo,offiziell (Region),"Offizieller Spoleto-Rundgang: Dom, Piazza della Signoria, Palazzo Bufalini, Via Fontesecca, Sant'Eufemia, Teatro Caio Melisso als Gefaengnis-Sprechzimmer."
Q35,ragazzainviaggio.it – Tutti i luoghi di Don Matteo a Spoleto,https://ragazzainviaggio.it/2023/03/13/tutti-i-luoghi-di-don-matteo-a-spoleto/,Blog,Praezise Adressangabe fuer Sant'Eufemia (Via Saffi 13) und klare Trennung Rocca (Gefaengniseingang) / Caio Melisso (Sprechzimmer).
Q36,viaggiareapois.it – Visitare Spoleto tra i luoghi della fiction,https://viaggiareapois.it/2018/05/30/visitare-spoleto-tra-i-luoghi-della-fiction-don-matteo/,Blog,Nennt die Schach-Bar als 'Tric Trac' und verortet das Pfarrhaus an einer Holztuer links der Ex-Kirche Santa Maria della Manna d'Oro - beides weicht von Q06b ab. Als Gegenposition dokumentiert.
Q37,"travel.thewom.it – Don Matteo 15, dove e girato",https://travel.thewom.it/italia/don-matteo-location.html,Reiseportal,"Aktuelle Uebersicht zur 15. Staffel; nennt Teatro Caio Melisso, Ponte delle Torri, Rocca und Corso Garibaldi sowie den Wechsel in die Tuscia."
Q38,vologratis.org – Spoleto: cosa vedere + i luoghi di Don Matteo,https://www.vologratis.org/spoleto-cosa-vedere-in-un-giorno/,Blog,"Detaillierteste Strassenliste der Spoleto-Aera: Corso Garibaldi, Via delle Mura, Vicolo della Basilica, Via dell'Arringo, Ponte delle Torri - plus die Grundschule Maestre Pie Filippini. Einzelquelle, ungeprueft."
Q39,cettinella.com – Dove e stato girato Don Matteo 15,https://www.cettinella.com/dove-stato-girato-don-matteo-15-tutte-le-nuove-location-e-i-borghi-storici/,Presse / Portal,"Vollstaendigste Aufstellung zur 15. Staffel inkl. Piazza Campello, Corso Garibaldi, Via dell'Arringo und der Tuscia-Orte."
Q40,fanpage.it – Le location di Don Matteo 15,https://www.fanpage.it/stile-e-trend/viaggi/don-matteo-15-le-location-della-serie-rai-con-raoul-bova-e-nino-frassica/,Presse,"Strassengenaue Angaben zur Tuscia: Monterosi (Via Roma, Chiesa di Santa Croce, drei Szenen) und Nepi (Via Matteotti, Piazza del Comune, Via San Pietro, Vicolo del Mattonato - Rueckblenden auf Don Massimos Polizistenzeit)."
Q41,quotidianodellumbria.it / corrieredellumbria.it – Drehberichte Staffel 15,https://www.quotidianodellumbria.it/spoleto/spoleto-torna-protagonista-riprendono-le-riprese-della-15a-stagione-di-don-matteo/,Regionalpresse,"Drehtermine Staffel 15 (Spoleto 08.09.-04.10.2025, zweiter Block 10.-30.11.2025, dritter Block Januar 2026) und Beleg, dass die Studioarbeit in Formello vorausging. Regie Alexis Sweet."
