id,name_de,name_it,typ,ort,provinz,adresse,lat,lon,geo_genauigkeit,geo_quelle,google_place_id,beschreibung_ort,rolle_in_der_serie,staffeln,folgen_beispiele,quellen,quellenkategorie,verlaesslichkeit,foto_quelle,budterence_kartennr,quelle_detailtiefe,geprueft_am,notizen
G11,Via della Zecca,Via della Zecca,Strasse,Gubbio,PG,"Via della Zecca, 06024 Gubbio PG",43.3538436,12.5774551,exakt (Strassenmitte),Q22,ChIJJSNvcqg5LBMRslICic6PddM,"Stark abfallende Gasse, parallel und auf halber Hoehe zwischen den bekannteren Via dei Consoli und Via Baldassini; im Hintergrund ist der Palazzo dei Consoli zu sehen.","Standardeinstellung, mit der in mehreren Folgen Don Matteos Weg zum Gefaengnis eingeleitet wird.",6,,Q06,Fanseite,hoch,https://www.budterence.tk/repDonMatteo6/009.htm,9,hoch,2026-08-11,"WICHTIG fuer die Karte: Die Via della Zecca liegt in Wirklichkeit gar nicht in der Naehe des Voltone (G10), der das Gefaengnis darstellt. Die Serie montiert hier zwei weit auseinanderliegende Orte zu einem Weg zusammen."
G12,Via Baldassini 24 - Haus Cecchini,Abitazione del Maresciallo Cecchini,Wohnhaus,Gubbio,PG,"Via Baldassini 24, 06024 Gubbio PG",43.3533208,12.5780401,"ungefaehr (Strassenmitte, nicht Hausnummer)",Q22,ChIJif3aeKg5LBMRUPD2jOm57Z8,"Mittelalterliche Gasse unterhalb der Piazza Grande, gut erhaltene Steinfassaden.","Wohnhaus von Maresciallo Cecchini (nur Aussenansicht). In den ersten Folgen der Staffel nur seltene Einstellungen der beiden Fenster; richtig zu erkennen ist das Haus in der vorletzten Folge, wenn Tochter Patrizia mehrfach ein- und ausgeht, begleitet vom jungen Carabiniere Severino.",1-8,Profumo di caffe; Uno spirito inquieto; Bravi ragazzi (alle St. 6),Q06|Q02,Fanseite + offiziell,hoch,https://www.budterence.tk/repDonMatteo6/017.htm,17,hoch,2026-08-11,"Hausnummer aus der Vor-Ort-Recherche. Via Baldassini verlaeuft eben, parallel und eine Ebene unterhalb der Piazza Grande - von hier sieht man die Substruktionen von 1482, die steile Flanke des Palazzo Pretorio und den Campanone-Turm. In derselben Strasse liegt die Casa Baldassini, in der der Ueberlieferung nach 1084 der Stadtpatron Sant'Ubaldo geboren wurde."
G13,Via Baldassini 35 - Wohnung Tommasi,Abitazione del Capitano Tommasi,Wohnhaus,Gubbio,PG,"Via Baldassini 35, 06024 Gubbio PG",43.3533208,12.5780401,ungefaehr (Strassenmitte),Q22,,Haus gegenueber der Wohnung Cecchinis; das Fenster liegt auf Hoehe der Hausnummer 35.,"Wohnung von Capitano Tommasi. Das Fenster liegt genau gegenueber dem von Cecchini. Tommasi findet die Wohnung nach langer Suche - Cecchini erfaehrt davon, als er waehrend einer Schachpartie mit Don Matteo aus dem Fenster schaut. Spaeter ruft Cecchini den Capitano vom Fenster aus, als der auf Anweisung seiner Mutter die Gardinen wechselt, und muss ihm schliesslich helfen, obwohl beide lieber das Fussball-Laenderspiel gesehen haetten.",6-8,Profumo di caffe (Einzug); Uno spirito inquieto (Gardinen) (beide St. 6),Q06,Fanseite,hoch,https://www.budterence.tk/repDonMatteo6/017.htm,17,hoch,2026-08-11,"Tommasi (Simone Montedoro) tritt ab Staffel 6 an die Stelle von Capitano Anceschi (Flavio Insinna, St. 1-5)."
G14,Via Baldassini 34 - Geigenbauwerkstatt Ginolfi,Laboratorio liuteria Ginolfi,Ladengeschaeft,Gubbio,PG,"Via Baldassini 34, 06024 Gubbio PG",43.3533208,12.5780401,ungefaehr (Strassenmitte),Q22,,Ladenlokal in der Via Baldassini.,"Geigenbauwerkstatt, in der Alderigo Ginolfi ermordet wird.",6,Il tesoro di Orfeo (St. 6),Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/018.htm,18,hoch,2026-08-11,Das Ladenlokal wirkte 2008 ungenutzt bzw. unbewohnt. Liegt wenige Meter unterhalb des Endes der Via-Gattapone-Abfahrt (siehe G30).
G15,Via dei Consoli 13 - Schokoladenladen von Vanessa,Cioccolateria di Vanessa,Ladengeschaeft,Gubbio,PG,"Via dei Consoli 13, 06024 Gubbio PG",43.3543637,12.5770589,ungefaehr (Strassenmitte),Q22,ChIJNxH6GKg5LBMRck_Ubu7n5io,Hauptgeschaeftsstrasse der mittelalterlichen Oberstadt mit Handwerksbetrieben und Keramikladen.,"Schokoladengeschaeft von Vanessa an der Nordseite. Etwas weiter, ebenfalls an der Nordseite der Piazzetta, kommt es zur Schlaegerei zwischen Youssef und dem blonden Bruder von Angela.",6,Cioccolata (St. 6),Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/007.htm,7,hoch,2026-08-11,"Die Kreuzung Via dei Consoli / Via Camignano bildet eine kleine Piazzetta - genau der Ausschnitt, den die Serie zeigt."
G16,Via dei Consoli 16 - Bar Tabacchi Nello,Bar Tabacchi Nello,Ladengeschaeft,Gubbio,PG,"Via dei Consoli 16, 06024 Gubbio PG",43.3543637,12.5770589,ungefaehr (Strassenmitte),Q22,,Ladenlokal schraeg gegenueber der Cioccolateria.,"Bar/Tabakladen 'Nello' an der Suedseite der Piazzetta. Tommasi, Cecchini und Don Matteo kaufen hier jeder ein Lotterielos; auch eine Innenaufnahme des Lokals ist dokumentiert.",6-7,,Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/007.htm,7,hoch,2026-08-11,Der Folgenbezug zu einem Ueberfall auf den Tabakladen der Familie Carrani in Staffel 7 stammt aus den Lux-Vide-Synopsen und ist NICHT mit diesem Gebaeude belegt.
G17,Via dei Consoli 10 - Zeitungskiosk,Edicola,Kiosk,Gubbio,PG,"Via dei Consoli 10, 06024 Gubbio PG",43.3543637,12.5770589,ungefaehr (Strassenmitte),Q22,,Kiosk in der Via dei Consoli.,"Kiosk, an dem Natalina und Pippo die Zeitschrift 'Lusso' kaufen. Vorgeschichte: Die beiden finden direkt vor dem Pfarrhaus einen Umschlag mit 9.900 Euro - Geld, mit dem eine junge Nigerianerin aus der Prostitution freigekauft werden sollte. Ahnungslos beschliessen sie, alles auszugeben, und suchen in der Zeitschrift Anregungen fuer 'teure und nutzlose Ausgaben'.",6,Un sogno rubato (St. 6),Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/006.htm,6,hoch,2026-08-11,"Der Kiosk liegt am Anfang der Via dei Consoli. Waehrend Natalina und Pippo sich naehern, ist im Hintergrund die Kirche San Domenico zu sehen (Piazza Giordano Bruno, ca. 43.35454 / 12.57519)."
G18,Piazza Quaranta Martiri,Piazza dei Quaranta Martiri,Platz,Gubbio,PG,"Piazza dei Quaranta Martiri, 06024 Gubbio PG",43.35179,12.5766119,exakt,Q22,ChIJLQyi6Kc5LBMRoFkbAS95Xk0,"Urspruenglich mittelalterlicher Marktplatz, heute teils Parkplatz, teils Gruenanlage; benannt nach den 40 am 22.06.1944 erschossenen Buergern.","Zahlreiche Einstellungen. Hier der Wochenmarkt von Gubbio - meist mit Natalina beim Einkaufen. Ausserdem die Actionszene, in der Tommasi und Cecchini am 'Pub delle Stelle' einen Dealer beim Verkauf an Fiorenzo entdecken; es folgt eine Verfolgungsjagd durch die Strassen Gubbios.",6,"Bravi ragazzi (Dealer/Verfolgungsjagd, St. 6)",Q06|Q13,Fanseite + Blog,hoch,https://www.budterence.tk/repDonMatteo6/023.htm,23,hoch,2026-08-11,"Verkehrsknoten und teils Parkplatz, teils Gruenanlage; bietet den weitesten Blick auf die am Berg klebende Oberstadt. 2023 Hauptflaeche des SpencerHill-Festivals mit ueber 20.000 Besuchern."
G19,Logge dei Tiratori,Logge dei Tiratori della Lana,Historisches Bauwerk,Gubbio,PG,"Piazza dei Quaranta Martiri 45, 06024 Gubbio PG",43.3521428,12.5774886,exakt,Q22,ChIJ5c2mUQA5LBMRgPpTG7cmgEI,"Langer Saeulenportikus ueber der Kirche Santa Maria dei Laici; urspruenglich Sitz des 1326 gegruendeten Hospitals Santa Maria, spaeter Trockenplatz der Wolltuchmacher.",Oberhalb des ehemaligen 'Spedal Grande' gelegen. Hier wurden die Modenschau und die Theaterauffuehrung der Pfarrjugend mit den ehemaligen Haeftlingen gedreht. Von unterhalb der Loggien hat man den weiten Blick zur Basilika Sant'Ubaldo auf dem Monte Ingino.,6,Un tocco di fard (Modenschau); Una dura prova per Don Matteo (Theater) (beide St. 6),Q06,Fanseite,hoch,https://www.budterence.tk/repDonMatteo6/024.htm,24,hoch,2026-08-11,Der ex 'Spedal Grande' wurde im 14. Jh. von der Confraternita della Beata Vergine Maria erbaut und 1452 den Bianchi/Laici uebergeben; die Loggia darueber kam im 17. Jh. durch die Wollweberzunft als Trockenplatz hinzu.
G20,Via Oderigi Lucarelli 3 - Historisches Archiv,Archivio storico,Gebaeude,Gubbio,PG,"Via Oderigi Lucarelli 3, 06024 Gubbio PG",,,nicht ermittelt,,,"Die Via Oderigi Lucarelli steigt in mehreren Kehren von der Via Baldassini direkt zur Piazza Grande hinauf. Unter Nr. 3 liegt das Staatsarchiv von Gubbio (Corali miniati, Kaiserdiplome, Klosterbestaende).","Don Matteo verlaesst dieses Portal, nachdem er ueber die Familie Peritti von Rocca Scura recherchiert hat - die Familie, in deren Haus die spiritistischen Sitzungen stattfanden. Das reale Staatsarchiv spielt hier also fast sich selbst.",6,Uno spirito inquieto (St. 6),Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/015.htm,15,hoch,2026-08-11,Koordinate weiterhin offen: Geodienste fuehren die 'Sezione di Archivio di Stato di Gubbio' heute unter Piazza dei Quaranta Martiri 1 (43.35221 / 12.57589). Entweder ist das Archiv seit 2008 umgezogen oder es hat zwei Standorte - vor Veroeffentlichung klaeren.
G21,Largo del Bargello 2 - Haus von Cecilia und Tante Teresa,Abitazione di Cecilia e zia Teresa,Wohnhaus,Gubbio,PG,"Largo del Bargello 2, 06024 Gubbio PG (an der Fontana dei Matti)",43.3544288,12.5767859,ungefaehr (Brunnen als Anker),Q22,ChIJ3VORKEI5LBMRwMQUH1YeOMk,"Platz vor dem gotischen Palazzo del Bargello (um 1302, heute Armbrustmuseum) mit der Fontana dei Matti; wer sie dreimal umrundet, erhaelt die 'Patente di Matto'.",Das Portal unter Nr. 2 dient als Wohnhaus von Cecilia und ihrer Tante Teresa - Nichte bzw. Ehefrau des ermordeten Hobby-Astronomen Prof. Albani.,6,Incontri ravvicinati (St. 6),Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/008.htm,8,hoch,2026-08-11,"Der Platz oeffnet sich rechts der Via dei Consoli, auf halber Strecke zwischen der Kirche San Domenico und der Piazza Grande. Die Fontana dei Matti ist im Kern 16. Jh., 1862 erneuert."
G22,Via Galeotti 50 - Wohnung der Verlobten des Sommeliers,Abitazione della fidanzata di Cassio Volterra,Wohnhaus,Gubbio,PG,"Via Galeotti 50, 06024 Gubbio PG",43.3538607,12.5783853,ungefaehr (Strassenmitte),Q22,ChIJfbedYqg5LBMRJOfVIQrGu8M,"Treppengasse, die von der Piazza Grande zum Dom hinaufsteigt.","Wohnung der Verlobten des ermordeten Sommeliers Cassio Volterra, gegen Ende der Via Galeotti. Don Matteo sucht sie fuer ein paar Fragen und trifft sie beim Verlassen des Hauses.",6,Una buona annata (St. 6),Q06|Q02,Fanseite + offiziell,mittel-hoch,https://www.budterence.tk/repDonMatteo6/004.htm,4,hoch,2026-08-11,Nettes Wiedererkennungsmerkmal fuer Besucher: Am Portal haengt (auch real) ein Schildchen mit der Aufschrift 'C.A. Rossi'.
G23,Passaggio dei Bandieranti / Via Galeotti 13A,Vicoli della ronda,Gasse,Gubbio,PG,"Kreuzung Passaggio dei Bandieranti / Via Galeotti, Hoehe Nr. 13A, 06024 Gubbio PG",,,nicht ermittelt,,,Von der Piazza Grande fuehren zwei enge Treppendurchgaenge hinunter in die Gassen der Via Galeotti. Nimmt man den linken - den 'Passaggio dei Bandieranti' - steht man vor einem Eisengitter: das ist Via Galeotti 13/A.,"Genau diesen Weg gehen Tommasi und Cecchini bei ihrer Streife auf der Suche nach dem Wolf, der angeblich bis in die Stadt gesehen wurde. Hier treffen sie den Alpini Forasacchi mit Gewehr, den Tommasi mit dem Auftrag nach Hause schickt, sein eigenes Haus zu bewachen.",6,Francesca e il lupo (St. 6),Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/003.htm,3,hoch,2026-08-11,Gasse ueber Geodienste nicht aufloesbar; naeherungsweise ueber Via Galeotti (G22) verorten.
G24,Via Cairoli 11 - Post,Poste e Telecomunicazioni,Oeffentliches Gebaeude,Gubbio,PG,"Via Cairoli 11, 06024 Gubbio PG",43.3510743,12.5788293,exakt (Postamt),Q22,ChIJ8W2qVaY5LBMRNLb14oQfUwQ,Das reale Postamt von Gubbio unter Via Cairoli 11.,"Suor Maria verlaesst mit Geld das Postamt, als Don Matteo mit dem Fahrrad ankommt und sie voll erwischt. Sie haelt ihn fuer einen Handtaschendieb, laesst Tasche und Geld fallen und flieht. Spaeter rechtfertigt sich Don Matteo in der Kaserne mit dem Hinweis, sein Fahrrad sei ein Oldtimer - schoen, aber die Bremsen gingen staendig kaputt.",6,,Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/026.htm,26,hoch,2026-08-11,
G25,Via Camignano 30 - Obdachlosenunterkunft und Suppenkueche,Dormitorio e mensa pubblici,Gebaeude,Gubbio,PG,"Via del Camignano 30, 06024 Gubbio PG",43.3549918,12.5759318,ungefaehr (Strassenmitte),Q22,ChIJGdhvI6g5LBMRI7ex5_FqzSA,Strasse entlang des Torrente Camignano im Quartier San Martino.,"Oeffentliche Unterkunft mit Essensausgabe, in der Don Matteo nach Beatriz sucht - der jungen Brasilianerin, die er aus der Prostitution holen will.",6,Bentornato Don Matteo (St. 6),Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/005.htm,5,hoch,2026-08-11,Die Via Camignano beginnt nahe dem Eingang zum Parco Ranghiasci und verlaeuft dann am Torrente Camignano entlang; die Mauer auf der rechten Seite ist die Uferbefestigung.
G26,Largo San Francesco 7 - Krankenhaus,Ospedale cittadino,Gebaeude,Gubbio,PG,"Largo San Francesco 7, 06024 Gubbio PG",43.3518308,12.5761231,ungefaehr (Strassenmitte),Q22,ChIJyZclhqc5LBMRzynRVDVQrRE,"Platz an der Kirche San Francesco, unterhalb der Piazza Quaranta Martiri.","Wann immer Opfer in einer Folge nur verletzt oder bewusstlos sind, wird das Krankenhaus von Gubbio gezeigt - zumindest fuer die Aussenaufnahmen.",6,,Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/025.htm,25,hoch,2026-08-11,"ACHTUNG fuer Besucher: Schon 2008 vermerkte die Reportage, das Krankenhaus sei verlegt bzw. aufgeloest worden; das Gebaeude in Largo San Francesco stehe dauerhaft leer. Largo San Francesco bildet praktisch einen einzigen Platz mit der Piazza Quaranta Martiri. Fuer Staffel 7 nennt Q12 zusaetzlich Innenaufnahmen im Krankenhaus Santa Maria della Misericordia in Perugia (U06)."
G27,Via Battilana 20 - Wohnung von Natascia,Abitazione di Natascia,Wohnhaus,Gubbio,PG,"Via dei Battilana 20, 06024 Gubbio PG",43.3525229,12.5776197,ungefaehr (Strassenmitte),Q22,ChIJg9MyxKc5LBMRkKHM2RxjKAw,Gasse zwischen Piazza San Giovanni und Via dei Consoli.,"Wohnung von Natascia, Angestellte im Supermarkt. Don Matteo besucht sie, um ueber die Nacht zu sprechen, in der Renato, der 'cantastorie' des Supermarkts, getoetet wurde.",6,Morte di un cantastorie (St. 6),Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/022.htm,22,hoch,2026-08-11,Die Via dei Battilana verbindet die Piazza Quaranta Martiri mit der Piazza San Giovanni; das Haus liegt nur wenige Meter von der Piazza San Giovanni entfernt.
G28,Via Piccardi,Via Piccardi,Strasse,Gubbio,PG,"Via A. Piccardi, 06024 Gubbio PG",43.3528755,12.5775872,exakt (Strassenmitte),Q22,ChIJOb9-26c5LBMRgnO474TnHYc,Gasse in der Unterstadt.,"Eine der Strassen, durch die Don Matteo mit dem Fahrrad faehrt.",1-8,,Q02,offiziell (Region Umbrien),hoch,,,,2026-08-11,
G29,Via Savelli della Porta,Via Savelli della Porta,Strasse,Gubbio,PG,"Via Savelli della Porta, 06024 Gubbio PG",43.3512996,12.5819057,exakt (Strassenmitte),Q22,ChIJa8Nz36U5LBMRYroGL7G-J_8,Strasse Richtung Porta Romana und San Marziale.,Fahrradstrecke Don Matteos.,1-8,,Q02,offiziell (Region Umbrien),hoch,,,,2026-08-11,
G30,Via Gattapone,Via Gattapone,Strasse,Gubbio,PG,"Via Gattapone, 06024 Gubbio PG",43.3534755,12.5780704,exakt (Strassenmitte),Q22,ChIJv2kWeag5LBMRN7qwiA6M3d0,"Charakteristische Gasse, die von der Via dei Consoli in drei Kehren zur Via Baldassini hinabfuehrt und dabei den Palazzo dei Consoli flankiert.","Zweiter Jogging-Schauplatz: Cecchini ueberredet Capitano Tommasi zum Laufen ausgerechnet in dieser Ecke Gubbios, weil er weiss, dass sie dort Dr. Chiara Brini treffen - die Vertretung des Gerichtsmediziners, die er fuer 'die Richtige' fuer den Capitano haelt. Der Plan geht auf.",6,Il tesoro di Orfeo (St. 6),Q06,Fanseite,mittel-hoch,https://www.budterence.tk/repDonMatteo6/010.htm,10,hoch,2026-08-11,NEU: Dieser Ort fehlt in der Uebersichtstabelle der Reportage und taucht erst auf der Einzelseite 010 auf. In keiner anderen Quelle genannt.
